一,,,yi1,no hint,one
丨,,,gun3,no hint,line
丶,,,zhu3,no hint,dot
丿,乀 乁,,pie3,no hint,slash
乙,乚 乛,,yi4,zecond,second
亅,,,jue2,no hint,hook
二,,,er4,no hint,two
亠,,,tou2,no hint,lid
人,亻,,ren2,no hint,man
儿,,,er2,no hint,legs
入,,,ru4,_ the tee pee,enter
八,丷,,ba1,no hint,eight
冂,,,jiong3,no hint,down box
冖,,,mi4,_ the log bridge,over
冫,,,bing1,icicle above frozen checkpoint,ice
几,,,ji1,no hint,table
凵,,,qu3,no hint,open box
刀,刂,,dao1,container for _,knife
力,,,li4,angel flying up with banner = _,power
勹,,,bao1,glad_ box with cutting edge,wrap
匕,,,bi3,_ cabinet,spoon
匚,,,fang1,no hint,right open box
匸,,,xi3,more realistic,hiding enclosure
十,,,shi2,no hint,ten
卜,,,bu3,shaman pointing stick,mysticism
卩,,,jie2,virgin being uncorked,seal
厂,,,han4,no hint,cliff
厶,,,si1,_ cloud,private
又,,,you4,putting up table (_!),again
口,,,kou3,no hint,mouth
囗,,,wei2,no hint,enclosure
土,,,tu3,no hint,earth
士,,,shi4,_ has broader arms than just earth,scholar
夂,,, zhi3 (top) ,solar collector – makes things _!,go
夊,,,sui1 (bottom),slower because in dark valley,go slowly
夕,,,xi4,after hours library returns,evening
大,,,da4,no hint,big
女,,,Nu(3),no hint,woman
子,,,zi3,no hint,child
宀,,,mian2,no hint,roof
寸,,,cun4,no hint,inch
小,,,xiao3,no hint,small
尢,尣,,wang1,right leg is busted / using crutches,lame
尸,,,shi1,ghost!,corpse
屮,,,che4,no hint,sprout
山,,,shan1,no hint,mountain
川,巛 巜,,chuan1,centerline of _,river
工,,,gong1,pillar does work holding up house,work
己,,,ji3,can't see the hole in the back of the head of _,oneself
巾,,,jin1,no hint,turban
干,,,gan1,double shelter => dry,dry
幺,,,yao1,small addition to cloud (computing _),short thread
广,,,yan3,no hint,dotted cliff
廴,,,yin3,bottom sweeping out means _ _,long stride
廾,,,gong3,you need _ _ to hold a rugby ball,two hands
弋,,,yi4,crow on arm kicking for goal,shoot
弓,,,gong1,_ stored in box,bow
彐,彑,,ji4,pig uses its _ to sniff green vegetation,snout
彡,,,shan1,no hint,bristle
彳,,,chi4,no hint,step
心,忄,,xin1,no hint,heart 
戈,,,ge1,no hint,halberd
戶,,,hu4,door of coffin,door 
手,扌,,shou3,no hint,hand 
支,,,zhi1,look at top: it's long => its a _,branch 
攴,攵,,pu1,put out our right arm to _ on it,rap 
